folder,process,img_file,object_id,area,x,y,width,height
frame_00087,adaptive_cleaned,crop_1.jpg,23,27621,0,0,105,283
frame_00087,adaptive_cleaned,crop_2.jpg,22,28624,0,0,108,281
frame_00087,binary_cleaned,crop_1.jpg,30,25395,0,0,105,283
frame_00087,binary_cleaned,crop_2.jpg,39,67,80,0,28,7
frame_00087,binary_cleaned,crop_2.jpg,40,21558,0,0,108,281
frame_00087,otsu_cleaned,crop_1.jpg,8,1266,0,48,62,235
frame_00087,otsu_cleaned,crop_1.jpg,11,868,88,0,17,168
frame_00087,otsu_cleaned,crop_2.jpg,6,305,0,272,72,9
frame_00087,otsu_cleaned,crop_2.jpg,22,1181,96,64,12,217
frame_00087,otsu_cleaned,crop_2.jpg,26,1844,0,0,16,216
frame_00088,adaptive_cleaned,crop_1.jpg,14,90,96,0,16,14
frame_00088,adaptive_cleaned,crop_1.jpg,16,29750,0,0,112,281
frame_00088,adaptive_cleaned,crop_2.jpg,26,25851,0,0,98,279
frame_00088,adaptive_cleaned,crop_3.jpg,12,56596,0,0,210,277
frame_00088,binary_cleaned,crop_1.jpg,32,267,48,0,64,8
frame_00088,binary_cleaned,crop_1.jpg,34,21808,0,0,112,281
frame_00088,binary_cleaned,crop_2.jpg,30,18571,0,4,98,275
frame_00088,binary_cleaned,crop_2.jpg,32,623,32,0,40,40
frame_00088,binary_cleaned,crop_3.jpg,53,1612,136,0,74,46
frame_00088,binary_cleaned,crop_3.jpg,54,45189,0,0,210,277
frame_00088,otsu_cleaned,crop_1.jpg,3,219,0,272,59,9
frame_00088,otsu_cleaned,crop_1.jpg,20,1614,96,64,16,217
frame_00088,otsu_cleaned,crop_1.jpg,28,270,48,0,64,8
frame_00088,otsu_cleaned,crop_1.jpg,29,2554,0,0,24,232
frame_00088,otsu_cleaned,crop_2.jpg,5,890,0,32,8,247
frame_00088,otsu_cleaned,crop_3.jpg,57,22215,0,48,210,229
frame_00088,otsu_cleaned,crop_3.jpg,75,1564,136,0,74,40frame_00088_crop_1,200frame_00088_crop_1,200
frame_00088_crop_1,1398
frame_00088_crop_1,195
frame_00088_crop_1,2443
